AGE;MATI;JML_DEPLESI;CUM_DEPLESI_%;STD_CUM_DEPLESI_%;PAKAN_STD_ZAK;PAKAN_STD_GR/EK;PAKAN_STD_CUM_GR/EK;PAKAN_ACT_ZAK;PAKAN_ACT_CUM_ZAK;PAKAN_ACT_GR/EK;PAKAN_CUM_GR/EK;DELTA_PAKAN_ZAK;DELTA_PAKAN_GR/EKOR;DELTA_PAKAN_CUM_GR/EKOK;ABW_STD;DG_STD;ABW_ACT;DG_ACT;DELTA_ABW;DELTA_DG;FCR_STD;FCR_ACT;DELTA_FCR;IP_STD;IP_ACT;SUHU_MIN;SUHU_MAX;KELEMBABAN;JUMLAH_AYAM_AKHIR;JUMLAH_AYAM_AWAL;PERIODE;FCR_ACT_lag_1;FCR_ACT_lag_2;FCR_ACT_lag_3;FCR_ACT_lag_7;FCR_ACT_lag_14;PAKAN_ACT_GR/EK_lag_1;PAKAN_ACT_GR/EK_lag_2;PAKAN_ACT_GR/EK_lag_3;PAKAN_ACT_GR/EK_lag_7;PAKAN_ACT_GR/EK_lag_14;DG_ACT_lag_1;DG_ACT_lag_2;DG_ACT_lag_3;DG_ACT_lag_7;DG_ACT_lag_14;SUHU_MAX_lag_1;SUHU_MAX_lag_2;SUHU_MAX_lag_3;SUHU_MAX_lag_7;SUHU_MAX_lag_14;SUHU_MIN_lag_1;SUHU_MIN_lag_2;SUHU_MIN_lag_3;SUHU_MIN_lag_7;SUHU_MIN_lag_14;KELEMBABAN_lag_1;KELEMBABAN_lag_2;KELEMBABAN_lag_3;KELEMBABAN_lag_7;KELEMBABAN_lag_14;MATI_lag_1;MATI_lag_2;MATI_lag_3;MATI_lag_7;MATI_lag_14;JML_DEPLESI_lag_1;JML_DEPLESI_lag_2;JML_DEPLESI_lag_3;JML_DEPLESI_lag_7;JML_DEPLESI_lag_14;PAKAN_ACT_GR/EK_rolling_mean_3;PAKAN_ACT_GR/EK_rolling_std_3;PAKAN_ACT_GR/EK_rolling_min_3;PAKAN_ACT_GR/EK_rolling_max_3;PAKAN_ACT_GR/EK_rolling_mean_7;PAKAN_ACT_GR/EK_rolling_std_7;PAKAN_ACT_GR/EK_rolling_min_7;PAKAN_ACT_GR/EK_rolling_max_7;PAKAN_ACT_GR/EK_rolling_mean_14;PAKAN_ACT_GR/EK_rolling_std_14;PAKAN_ACT_GR/EK_rolling_min_14;PAKAN_ACT_GR/EK_rolling_max_14;DG_ACT_rolling_mean_3;DG_ACT_rolling_std_3;DG_ACT_rolling_min_3;DG_ACT_rolling_max_3;DG_ACT_rolling_mean_7;DG_ACT_rolling_std_7;DG_ACT_rolling_min_7;DG_ACT_rolling_max_7;DG_ACT_rolling_mean_14;DG_ACT_rolling_std_14;DG_ACT_rolling_min_14;DG_ACT_rolling_max_14;PAKAN_DG_RATIO;SUHU_KELEMBABAN_INTERACTION;STRESS_INDEX;PAKAN_ACT_GR/EK_momentum_1;PAKAN_ACT_GR/EK_acceleration;DG_ACT_momentum_1;DG_ACT_acceleration;HEALTH_STATUS_SCORE
3;17;63;0.315;0.36;10.0;26;66;6;19;15.0;47.6;-4.0;-11;-18;94;20;86.0;18;-8;-2;0.711;0.554;-0.157;0;0;30;32;65;19937;20000;4;0.479;0.318;0.318;0.318;0.318;15.0;17.5;17.5;17.5;17.5;13.0;22.0;22.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;25.0;21.0;21.0;21.0;21.0;46.0;21.0;21.0;21.0;21.0;15.833;1.443;15.0;17.5;15.833;1.443;15.0;17.5;15.833;1.443;15.0;17.5;17.667;4.509;13.0;22.0;17.667;4.509;13.0;22.0;17.667;4.509;13.0;22.0;0.833;2080;130;0.0;2.5;5.0;14.0;21.1
4;12;75;0.375;0.49;12.0;30;96;8;27;20.1;67.7;-4.0;-10;-28;117;24;98.0;12;-19;-12;0.826;0.691;-0.135;0;0;30;32;65;19925;20000;4;0.554;0.479;0.318;0.318;0.318;15.0;15.0;17.5;17.5;17.5;18.0;13.0;22.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;17.0;25.0;21.0;21.0;21.0;63.0;46.0;21.0;21.0;21.0;16.7;2.944;15.0;20.1;16.9;2.437;15.0;20.1;16.9;2.437;15.0;20.1;14.333;3.215;12.0;18.0;16.25;4.646;12.0;22.0;16.25;4.646;12.0;22.0;1.675;2080;130;5.1;5.1;-6.0;-11.0;21.0
5;11;86;0.43;0.62;14.0;34;131;9;36;22.6;90.3;-5.0;-11;-41;144;27;117.0;19;-27;-8;0.914;0.773;-0.141;0;0;30;32;65;19914;20000;4;0.691;0.554;0.479;0.318;0.318;20.1;15.0;15.0;17.5;17.5;12.0;18.0;13.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;12.0;17.0;25.0;21.0;21.0;75.0;63.0;46.0;21.0;21.0;19.233;3.873;15.0;22.6;18.04;3.31;15.0;22.6;18.04;3.31;15.0;22.6;16.333;3.786;12.0;19.0;16.8;4.207;12.0;22.0;16.8;4.207;12.0;22.0;1.189;2080;130;2.5;-2.6;7.0;13.0;22.7
6;12;98;0.49;0.75;15.0;38;170;9;45;22.6;112.9;-6.0;-15;-57;174;30;136.0;19;-38;-11;0.979;0.831;-0.148;0;0;30;32;65;19902;20000;4;0.773;0.691;0.554;0.318;0.318;22.6;20.1;15.0;17.5;17.5;19.0;12.0;18.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;11.0;12.0;17.0;21.0;21.0;86.0;75.0;63.0;21.0;21.0;21.767;1.443;20.1;22.6;18.8;3.497;15.0;22.6;18.8;3.497;15.0;22.6;16.667;4.041;12.0;19.0;17.167;3.869;12.0;22.0;17.167;3.869;12.0;22.0;1.189;2080;130;0.0;-2.5;0.0;-7.0;25.6
7;11;109;0.545;0.68;17.0;43;210;14;59;35.2;148.1;-3.0;-8;-62;205;33;161.0;25;-44;-8;1.029;0.921;-0.108;270;248;30;32;65;19891;20000;4;0.831;0.773;0.691;0.318;0.318;22.6;22.6;20.1;17.5;17.5;19.0;19.0;12.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;12.0;11.0;12.0;21.0;21.0;98.0;86.0;75.0;21.0;21.0;26.8;7.275;22.6;35.2;21.143;6.972;15.0;35.2;21.143;6.972;15.0;35.2;21.0;3.464;19.0;25.0;18.286;4.608;12.0;25.0;18.286;4.608;12.0;25.0;1.408;2080;130;12.6;12.6;6.0;6.0;27.3
8;12;121;0.605;1.01;18.0;45;260;15;74;37.7;185.8;-3.0;-7;-74;244;37;187.0;26;-57;-11;1.068;0.995;-0.073;268;234;28;30;60;19879;20000;4;0.921;0.831;0.773;0.318;0.318;35.2;22.6;22.6;17.5;17.5;25.0;19.0;19.0;22.0;22.0;32.0;32.0;32.0;32.0;32.0;30.0;30.0;30.0;30.0;30.0;65.0;65.0;65.0;65.0;65.0;11.0;12.0;11.0;21.0;21.0;109.0;98.0;86.0;21.0;21.0;31.833;8.093;22.6;37.7;24.029;9.076;15.0;37.7;23.213;8.714;15.0;37.7;23.333;3.786;19.0;26.0;18.857;5.336;12.0;26.0;19.25;5.064;12.0;26.0;1.45;1800;120;2.5;-10.1;1.0;-5.0;30.2
9;7;128;0.64;1.14;21.0;53;312;17;91;42.8;228.6;-4.0;-10;-83;285;41;220.0;33;-65;-8;1.099;1.041;-0.058;274;233;28;30;60;19872;20000;4;0.995;0.921;0.831;0.479;0.318;37.7;35.2;22.6;15.0;17.5;26.0;25.0;19.0;13.0;22.0;30.0;32.0;32.0;32.0;32.0;28.0;30.0;30.0;30.0;30.0;60.0;65.0;65.0;65.0;65.0;12.0;11.0;12.0;25.0;21.0;121.0;109.0;98.0;46.0;21.0;38.567;3.873;35.2;42.8;28.0;10.446;15.0;42.8;25.389;10.444;15.0;42.8;28.0;4.359;25.0;33.0;21.714;6.824;12.0;33.0;20.778;6.591;12.0;33.0;1.297;1800;120;5.1;2.6;7.0;6.0;29.1
10;8;136;0.68;1.27;22.0;56;372;16;107;40.3;268.8;-6.0;-16;-103;330;45;257.0;37;-73;-8;1.129;1.048;-0.081;281;244;28;30;60;19864;20000;4;1.041;0.995;0.921;0.554;0.318;42.8;37.7;35.2;15.0;17.5;33.0;26.0;25.0;18.0;22.0;30.0;30.0;32.0;32.0;32.0;28.0;28.0;30.0;30.0;30.0;60.0;60.0;65.0;65.0;65.0;7.0;12.0;11.0;17.0;21.0;128.0;121.0;109.0;63.0;21.0;40.267;2.55;37.7;42.8;31.614;9.535;20.1;42.8;26.88;10.917;15.0;42.8;32.0;5.568;26.0;37.0;24.429;8.638;12.0;37.0;22.4;8.058;12.0;37.0;1.089;1800;120;-2.5;-7.6;4.0;-3.0;31.2
11;11;147;0.735;1.4;25.0;63;435;21;128;52.9;321.7;-4.0;-10;-113;380;49;292.0;35;-88;-14;1.149;1.104;-0.045;289;239;28;30;60;19853;20000;4;1.048;1.041;0.995;0.691;0.318;40.3;42.8;37.7;20.1;17.5;37.0;33.0;26.0;12.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;8.0;7.0;12.0;12.0;21.0;136.0;128.0;121.0;75.0;21.0;45.333;6.671;40.3;52.9;36.3;10.896;22.6;52.9;29.245;12.993;15.0;52.9;35.0;2.0;33.0;37.0;27.714;7.41;19.0;37.0;23.545;8.537;12.0;37.0;1.511;1800;120;12.6;15.1;-2.0;-6.0;34.9
12;11;158;0.79;1.53;27.0;68;506;22;150;55.4;377.2;-5.0;-13;-129;434;54;335.0;43;-99;-11;1.169;1.128;-0.041;297;246;28;30;60;19842;20000;4;1.104;1.048;1.041;0.773;0.318;52.9;40.3;42.8;22.6;17.5;35.0;37.0;33.0;19.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;11.0;8.0;7.0;11.0;21.0;147.0;136.0;128.0;86.0;21.0;49.533;8.093;40.3;55.4;40.986;11.074;22.6;55.4;31.425;14.508;15.0;55.4;38.333;4.163;35.0;43.0;31.143;8.214;19.0;43.0;25.167;9.889;12.0;43.0;1.288;1800;120;2.5;-10.1;8.0;10.0;37.1
13;10;168;0.84;1.68;29.0;73;584;28;178;70.6;447.8;-1.0;-2;-136;492;56;386.0;51;-106;-5;1.186;1.163;-0.023;305;253;28;30;60;19832;20000;4;1.128;1.104;1.048;0.831;0.318;55.4;52.9;40.3;22.6;17.5;43.0;35.0;37.0;19.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;11.0;11.0;8.0;12.0;21.0;158.0;147.0;136.0;98.0;21.0;59.633;9.579;52.9;70.6;47.843;12.554;35.2;70.6;34.438;17.635;15.0;70.6;43.0;8.0;35.0;51.0;35.714;9.178;25.0;51.0;27.154;11.873;12.0;51.0;1.384;1800;120;15.2;12.7;8.0;0.0;38.6
14;16;184;0.92;1.79;31.0;78;668;22;200;55.5;503.3;-9.0;-22;-165;553;61;431.0;45;-122;-16;1.208;1.171;-0.037;313;260;28;30;60;19816;20000;4;1.163;1.128;1.104;0.921;0.318;70.6;55.4;52.9;35.2;17.5;51.0;43.0;35.0;25.0;22.0;30.0;30.0;30.0;32.0;32.0;28.0;28.0;28.0;30.0;30.0;60.0;60.0;60.0;65.0;65.0;10.0;11.0;11.0;11.0;21.0;168.0;158.0;147.0;109.0;21.0;60.5;8.747;55.4;70.6;50.743;11.442;37.7;70.6;35.943;17.854;15.0;70.6;46.333;4.163;43.0;51.0;38.571;8.364;26.0;51.0;28.429;12.364;12.0;51.0;1.233;1800;120;-15.1;-30.3;-6.0;-14.0;44.8
15;15;199;0.995;1.92;33.0;84;752;30;230;75.8;579.0;-3.0;-8;-173;618;65;488.0;57;-130;-8;1.219;1.19;-0.029;320;271;26;28;55;19801;20000;4;1.171;1.163;1.128;0.995;0.318;55.5;70.6;55.4;37.7;17.5;45.0;51.0;43.0;26.0;22.0;30.0;30.0;30.0;30.0;32.0;28.0;28.0;28.0;28.0;30.0;60.0;60.0;60.0;60.0;65.0;16.0;10.0;11.0;12.0;21.0;184.0;168.0;158.0;121.0;21.0;67.3;10.545;55.5;75.8;56.186;13.14;40.3;75.8;40.107;19.903;15.0;75.8;51.0;6.0;45.0;57.0;43.0;8.794;33.0;57.0;30.929;14.344;12.0;57.0;1.33;1540;110;20.3;35.4;12.0;18.0;47.3
16;20;219;1.095;2.06;36.0;90;841;32;262;80.9;659.9;-4.0;-9;-181;685;68;543.0;55;-142;-13;1.229;1.22;-0.009;327;275;26;28;55;19781;20000;4;1.19;1.171;1.163;1.041;0.479;75.8;55.5;70.6;42.8;15.0;57.0;45.0;51.0;33.0;13.0;28.0;30.0;30.0;30.0;32.0;26.0;28.0;28.0;28.0;30.0;55.0;60.0;60.0;60.0;65.0;15.0;16.0;10.0;7.0;25.0;199.0;184.0;168.0;128.0;46.0;70.733;13.437;55.5;80.9;61.629;14.492;40.3;80.9;44.814;21.255;15.0;80.9;52.333;6.429;45.0;57.0;46.143;8.552;35.0;57.0;33.929;14.694;12.0;57.0;1.471;1540;110;5.1;-15.2;-2.0;-14.0;53.8
17;15;234;1.17;2.18;38.0;96;936;34;296;86.0;745.9;-4.0;-10;-190;756;71;604.0;61;-152;-10;1.239;1.24;0.001;334;283;26;28;55;19766;20000;4;1.22;1.19;1.171;1.048;0.554;80.9;75.8;55.5;40.3;15.0;55.0;57.0;45.0;37.0;18.0;28.0;28.0;30.0;30.0;32.0;26.0;26.0;28.0;28.0;30.0;55.0;55.0;60.0;60.0;65.0;20.0;15.0;16.0;8.0;17.0;219.0;199.0;184.0;136.0;63.0;80.9;5.1;75.8;86.0;68.157;13.545;52.9;86.0;49.886;22.049;20.1;86.0;57.667;3.055;55.0;61.0;49.571;9.071;35.0;61.0;37.0;15.576;12.0;61.0;1.41;1540;110;5.1;-0.0;6.0;8.0;54.3
18;12;246;1.23;2.31;40.0;102;1036;32;328;81.0;826.9;-8.0;-21;-209;830;74;680.0;76;-150;2;1.249;1.221;-0.028;343;306;26;28;55;19754;20000;4;1.24;1.22;1.19;1.104;0.691;86.0;80.9;75.8;52.9;20.1;61.0;55.0;57.0;35.0;12.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;15.0;20.0;15.0;11.0;12.0;234.0;219.0;199.0;147.0;75.0;82.633;2.916;80.9;86.0;72.171;12.384;55.4;86.0;54.236;21.726;22.6;86.0;64.0;10.817;55.0;76.0;55.429;11.103;43.0;76.0;41.571;17.001;19.0;76.0;1.066;1540;110;-5.0;-10.1;15.0;9.0;55.2
19;8;254;1.27;2.44;42.0;106;1142;38;366;96.2;923.1;-4.0;-10;-219;908;77;742.0;62;-166;-15;1.259;1.249;-0.01;378;309;26;28;55;19746;20000;4;1.221;1.24;1.22;1.128;0.773;81.0;86.0;80.9;55.4;22.6;76.0;61.0;55.0;43.0;19.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;12.0;15.0;20.0;11.0;11.0;246.0;234.0;219.0;158.0;86.0;87.733;7.747;81.0;96.2;78.0;12.77;55.5;96.2;59.493;22.377;22.6;96.2;66.333;8.386;61.0;76.0;58.143;9.805;45.0;76.0;44.643;16.486;19.0;76.0;1.552;1540;110;15.2;20.2;-14.0;-29.0;54.8
20;14;268;1.34;2.57;45.0;114;1256;40;406;101.4;1024.5;-5.0;-13;-231;967;80;802.0;60;-165;-20;1.272;1.283;0.011;383;308;26;28;55;19732;20000;4;1.249;1.221;1.24;1.163;0.831;96.2;81.0;86.0;70.6;22.6;62.0;76.0;61.0;51.0;19.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;8.0;12.0;15.0;10.0;12.0;254.0;246.0;234.0;168.0;98.0;92.867;10.601;81.0;101.4;82.4;14.921;55.5;101.4;65.121;22.294;35.2;101.4;66.0;8.718;60.0;76.0;59.429;9.289;45.0;76.0;47.571;15.169;25.0;76.0;1.69;1540;110;5.2;-10.0;-2.0;12.0;60.6
21;15;283;1.415;2.7;47.0;120;1382;38;444;96.4;1120.8;-9.0;-24;-261;1069;82;883.0;81;-186;-1;1.294;1.275;-0.019;387;325;26;28;55;19717;20000;4;1.283;1.249;1.221;1.171;0.921;101.4;96.2;81.0;55.5;35.2;60.0;62.0;76.0;45.0;25.0;28.0;28.0;28.0;30.0;32.0;26.0;26.0;26.0;28.0;30.0;55.0;55.0;55.0;60.0;65.0;14.0;8.0;12.0;16.0;11.0;268.0;254.0;246.0;184.0;109.0;98.0;2.946;96.2;101.4;88.243;9.74;75.8;101.4;69.493;21.973;37.7;101.4;67.667;11.59;60.0;81.0;64.571;9.914;55.0;81.0;51.571;16.114;26.0;81.0;1.19;1540;110;-5.0;-10.2;21.0;23.0;64.1
22;5;288;1.44;2.83;50.0;126;1517;42;486;106.5;1227.4;-8.0;-19;-290;1153;84;948.0;65;-205;-19;1.137;1.3;0.163;391;327;24;26;50;19712;20000;4;1.275;1.283;1.249;1.19;0.995;96.4;101.4;96.2;75.8;37.7;81.0;60.0;62.0;57.0;26.0;28.0;28.0;28.0;28.0;30.0;26.0;26.0;26.0;26.0;28.0;55.0;55.0;55.0;55.0;60.0;15.0;14.0;8.0;15.0;12.0;283.0;268.0;254.0;199.0;121.0;101.433;5.05;96.4;106.5;92.629;10.108;80.9;106.5;74.407;22.009;40.3;106.5;68.667;10.97;60.0;81.0;65.714;9.34;55.0;81.0;54.357;14.658;33.0;81.0;1.638;1300;100;10.1;15.1;-16.0;-37.0;60.1
23;11;299;1.495;2.96;52.0;132;1656;44;530;111.7;1339.1;-8.0;-20;-317;1239;86;1027.0;79;-212;-7;1.337;1.31;-0.027;394;336;24;26;50;19701;20000;4;1.3;1.275;1.283;1.22;1.041;106.5;96.4;101.4;80.9;42.8;65.0;81.0;60.0;55.0;33.0;26.0;28.0;28.0;28.0;30.0;24.0;26.0;26.0;26.0;28.0;50.0;55.0;55.0;55.0;60.0;5.0;15.0;14.0;20.0;7.0;288.0;283.0;268.0;219.0;128.0;104.867;7.78;96.4;111.7;97.029;10.83;81.0;111.7;79.329;22.101;40.3;111.7;75.0;8.718;65.0;81.0;69.143;9.155;60.0;81.0;57.643;14.658;35.0;81.0;1.414;1300;100;5.2;-4.9;14.0;30.0;65.3
24;11;310;1.55;3.09;54.0;138;1803;46;576;116.8;1455.9;-8.0;-21;-347;1327;88;1107.0;80;-220;-8;1.36;1.321;-0.039;397;344;24;26;50;19690;20000;4;1.31;1.3;1.275;1.24;1.048;111.7;106.5;96.4;86.0;40.3;79.0;65.0;81.0;61.0;37.0;26.0;26.0;28.0;28.0;30.0;24.0;24.0;26.0;26.0;28.0;50.0;50.0;55.0;55.0;60.0;11.0;5.0;15.0;15.0;8.0;299.0;288.0;283.0;234.0;136.0;111.667;5.15;106.5;116.8;101.429;11.814;81.0;116.8;84.793;21.146;52.9;116.8;74.667;8.386;65.0;80.0;71.857;9.155;60.0;81.0;60.714;14.504;35.0;81.0;1.46;1300;100;5.1;-0.1;1.0;-13.0;67.5
25;11;321;1.605;3.22;57.0;144;1958;48;624;122.0;1577.8;-9.0;-22;-380;1418;90;1167.0;60;-251;-30;1.382;1.359;-0.023;400;338;24;26;50;19679;20000;4;1.321;1.31;1.3;1.221;1.104;116.8;111.7;106.5;81.0;52.9;80.0;79.0;65.0;76.0;35.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;11.0;11.0;5.0;12.0;11.0;310.0;299.0;288.0;246.0;147.0;116.833;5.15;111.7;122.0;107.286;10.026;96.2;122.0;89.729;21.193;55.4;122.0;73.0;11.269;60.0;80.0;69.571;9.914;60.0;81.0;62.5;12.495;43.0;81.0;2.033;1300;100;5.2;0.1;-20.0;-21.0;69.7
26;24;345;1.725;3.35;59.0;150;2120;46;670;117.0;1694.8;-13.0;-33;-425;1510;92;1221.0;54;-289;-38;1.405;1.396;-0.009;402;331;24;26;50;19655;20000;4;1.359;1.321;1.31;1.249;1.128;122.0;116.8;111.7;96.2;55.4;60.0;80.0;79.0;62.0;43.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;11.0;11.0;11.0;8.0;11.0;321.0;310.0;299.0;254.0;158.0;118.6;2.946;116.8;122.0;110.257;9.245;96.4;122.0;94.129;19.871;55.5;122.0;64.667;13.614;54.0;80.0;68.429;11.297;54.0;81.0;63.286;11.479;45.0;81.0;2.167;1300;100;-5.0;-10.2;-6.0;14.0;81.0
27;21;366;1.83;3.4;61.0;156;2285;46;716;117.1;1812.0;-15.0;-39;-473;1604;94;1289.0;68;-315;-26;1.426;1.415;-0.011;404;331;24;26;50;19634;20000;4;1.396;1.359;1.321;1.283;1.163;117.0;122.0;116.8;101.4;70.6;54.0;60.0;80.0;60.0;51.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;24.0;11.0;11.0;14.0;10.0;345.0;321.0;310.0;268.0;168.0;118.7;2.858;117.0;122.0;112.5;8.622;96.4;122.0;97.45;19.519;55.5;122.0;60.667;7.024;54.0;68.0;69.571;10.69;54.0;81.0;64.5;10.967;45.0;81.0;1.722;1300;100;0.1;5.1;14.0;20.0;83.7
28;25;391;1.955;3.61;64.0;162;2455;56;772;142.8;1954.8;-8.0;-19;-500;1698;95;1382.0;93;-316;-2;1.446;1.424;-0.022;405;340;24;26;50;19609;20000;4;1.415;1.396;1.359;1.275;1.171;117.1;117.0;122.0;96.4;55.5;68.0;54.0;60.0;81.0;45.0;26.0;26.0;26.0;28.0;30.0;24.0;24.0;24.0;26.0;28.0;50.0;50.0;50.0;55.0;60.0;21.0;24.0;11.0;15.0;16.0;366.0;345.0;321.0;283.0;184.0;125.633;14.867;117.0;142.8;119.129;11.528;106.5;142.8;103.686;19.025;75.8;142.8;71.667;19.757;54.0;93.0;71.286;13.438;54.0;93.0;67.929;11.868;54.0;93.0;1.535;1300;100;25.7;25.6;25.0;11.0;90.7
29;35;426;2.13;3.74;66.0;168;2635;54;826;137.9;2092.7;-12.0;-30;-542;1794;96;1449.0;67;-345;-29;1.47;1.456;-0.014;406;336;24;26;50;19574;20000;4;1.424;1.415;1.396;1.3;1.19;142.8;117.1;117.0;106.5;75.8;93.0;68.0;54.0;65.0;57.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;25.0;21.0;24.0;5.0;15.0;391.0;366.0;345.0;288.0;199.0;132.6;13.645;117.1;142.8;123.614;11.898;111.7;142.8;108.121;19.261;80.9;142.8;76.0;14.731;67.0;93.0;71.571;13.302;54.0;93.0;68.643;11.453;54.0;93.0;2.058;1300;100;-4.9;-30.6;-26.0;-51.0;102.7
30;25;451;2.255;3.87;68.0;173;2818;52;878;133.0;2225.7;-16.0;-40;-592;1891;97;1531.0;82;-360;-15;1.491;1.467;-0.024;407;340;24;26;50;19549;20000;4;1.456;1.424;1.415;1.31;1.22;137.9;142.8;117.1;111.7;80.9;67.0;93.0;68.0;79.0;55.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;35.0;25.0;21.0;11.0;20.0;426.0;391.0;366.0;299.0;219.0;137.9;4.9;133.0;142.8;126.657;11.035;116.8;142.8;111.843;18.619;81.0;142.8;80.667;13.051;67.0;93.0;72.0;13.626;54.0;93.0;70.571;11.25;54.0;93.0;1.622;1300;100;-4.9;0.0;15.0;41.0;102.7
31;10;461;2.305;4.0;70.0;178;3004;52;930;133.1;2358.8;-18.0;-45;-645;1989;98;1611.0;80;-378;-18;1.511;1.477;-0.034;408;344;24;26;50;19539;20000;4;1.467;1.456;1.424;1.321;1.24;133.0;137.9;142.8;116.8;86.0;82.0;67.0;93.0;80.0;61.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;25.0;35.0;25.0;11.0;15.0;451.0;426.0;391.0;310.0;234.0;134.667;2.801;133.0;137.9;128.986;10.304;117.0;142.8;115.207;17.829;81.0;142.8;76.333;8.145;67.0;82.0;72.0;13.626;54.0;93.0;71.929;11.153;54.0;93.0;1.664;1300;100;0.1;5.0;-2.0;-17.0;97.2
32;16;477;2.385;4.13;71.0;183;3201;56;986;143.4;2502.2;-15.0;-40;-699;2087;99;1683.0;72;-404;-27;1.534;1.5;-0.034;408;342;24;26;50;19523;20000;4;1.477;1.467;1.456;1.359;1.221;133.1;133.0;137.9;122.0;81.0;80.0;82.0;67.0;60.0;76.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;10.0;25.0;35.0;11.0;12.0;461.0;451.0;426.0;321.0;246.0;136.5;5.976;133.0;143.4;132.043;11.035;117.0;143.4;119.664;16.359;96.2;143.4;78.0;5.292;72.0;82.0;73.714;12.579;54.0;93.0;71.643;11.091;54.0;93.0;1.992;1300;100;10.3;10.2;-8.0;-6.0;103.4
33;5;482;2.41;4.26;73.0;188;3403;50;1036;128.1;2630.3;-23.0;-60;-773;2187;100;1748.0;65;-439;-35;1.556;1.518;-0.038;408;341;24;26;50;19518;20000;4;1.5;1.477;1.467;1.396;1.249;143.4;133.1;133.0;117.0;96.2;72.0;80.0;82.0;54.0;62.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;16.0;10.0;25.0;24.0;8.0;477.0;461.0;451.0;345.0;254.0;134.867;7.801;128.1;143.4;133.629;9.149;117.1;143.4;121.943;15.005;96.4;143.4;72.333;7.506;65.0;80.0;75.286;10.161;65.0;93.0;71.857;10.918;54.0;93.0;1.971;1300;100;-15.3;-25.6;-7.0;1.0;98.9
34;17;499;2.495;4.39;75.0;193;3601;52;1088;133.3;2763.6;-23.0;-60;-837;2289;101;1842.0;94;-447;-7;1.578;1.514;-0.064;407;349;24;26;50;19501;20000;4;1.518;1.5;1.477;1.415;1.283;128.1;143.4;133.1;117.1;101.4;65.0;72.0;80.0;68.0;60.0;26.0;26.0;26.0;26.0;28.0;24.0;24.0;24.0;24.0;26.0;50.0;50.0;50.0;50.0;55.0;5.0;16.0;10.0;21.0;14.0;482.0;477.0;461.0;366.0;268.0;134.933;7.78;128.1;143.4;135.943;5.652;128.1;143.4;124.221;14.036;96.4;143.4;77.0;15.133;65.0;94.0;79.0;11.69;65.0;94.0;74.286;11.822;54.0;94.0;1.418;1300;100;5.2;20.5;29.0;36.0;108.3
